2021-07-19 13:25:21,052 INFO    MainThread:60868 [wandb_setup.py:_flush():70] setting env: {}
2021-07-19 13:25:21,053 INFO    MainThread:60868 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-07-19 13:25:21,053 INFO    MainThread:60868 [wandb_setup.py:_flush():70] setting login settings: {}
2021-07-19 13:25:21,053 INFO    MainThread:60868 [wandb_init.py:_log_setup():318] Logging user logs to /home/jasonyma/argoverse-forecasting/wandb/run-20210719_132521-tg4i62e5/logs/debug.log
2021-07-19 13:25:21,053 INFO    MainThread:60868 [wandb_init.py:_log_setup():319] Logging internal logs to /home/jasonyma/argoverse-forecasting/wandb/run-20210719_132521-tg4i62e5/logs/debug-internal.log
2021-07-19 13:25:30,473 INFO    MainThread:60868 [wandb_run.py:_console_start():1399] atexit reg
2021-07-19 13:25:30,474 INFO    MainThread:60868 [wandb_run.py:_redirect():1262] redirect: SettingsConsole.REDIRECT
2021-07-19 13:25:30,475 INFO    MainThread:60868 [wandb_run.py:_redirect():1267] Redirecting console.
2021-07-19 13:25:30,476 INFO    MainThread:60868 [redirect.py:install():213] install start
2021-07-19 13:25:30,476 INFO    MainThread:60868 [redirect.py:install():228] install stop
2021-07-19 13:25:30,477 INFO    MainThread:60868 [redirect.py:install():213] install start
2021-07-19 13:25:30,477 INFO    MainThread:60868 [redirect.py:install():228] install stop
2021-07-19 13:25:30,477 INFO    MainThread:60868 [wandb_run.py:_redirect():1313] Redirects installed.
